2003	20.5	23.1	35.6	48.4	56.5	66.6	72.6	72.9	63.1	50.9	44.3	33.1	49.0
2004	20.0	28.5	40.4	50.8	60.9	67.1	71.8	68.5	67.4	53.3	43.0	29.7	50.1
2005	24.1	28.4	33.2	50.7	56.6	74.1	75.4	74.8	68.4	55.2	43.2	25.8	50.8
2006	35.3	29.8	38.1	52.2	60.7	69.4	76.1	72.9	62.0	49.7	42.6	37.4	52.2
2007	29.6	19.3	40.1	47.7	61.7	71.3	72.0	73.8	66.7	59.1	40.0	29.6	50.9
2008	28.9	25.2	33.4	51.8	57.4	70.6	73.1	72.1	66.3	50.6	39.0	27.4	49.7
2009	17.3	28.5	38.7	49.8	59.4	67.8	68.9	71.1	66.0	50.0	45.3	29.3	49.3
2010	25.1	27.8	42.4	54.2	62.7	71.4	76.6	75.2	64.5	54.9	42.0	25.6	51.9
2011	21.8	24.8	35.0	47.3	60.7	70.6	79.3	73.2	64.4	54.4	46.6	35.5	51.1
2012	30.7	32.6	50.7	49.4	65.3	72.3	79.0	72.9	64.0	52.7	40.4	35.9	53.8
2013	28.7	27.2	34.6	46.4	63.6	69.7	74.0	71.9	64.1	53.3	37.5	26.8	49.8
2014	16.4	19.4	28.7	48.9	61.4	70.5	69.9	71.5	63.5	52.1	35.8	33.6	47.6
2015	21.2	14.1	34.5	50.0	64.5	68.8	72.9	71.7	69.3	54.5	46.0	41.1	50.7
2016	28.1	31.2	43.1	46.3	61.0	71.1	76.8	76.7	68.2	55.9	46.7	29.0	52.8
2017	32.1	37.9	36.9	54.3	59.0	71.1	74.4	71.1	67.1	57.3	40.4	26.6	52.4
2018	24.5	31.0	35.4	43.0	66.1	71.5	75.9	75.8	68.9	52.6	37.1	34.5	51.4
2019	23.8	28.3	34.3	49.0	58.8	68.2	76.8	73.1	68.6	54.0	35.8	35.1	50.5
2020	32.4	30.1	41.2	46.1	57.7	71.1	77.5	73.5	63.4	51.0	45.7	32.9	51.9
2021	29.3	23.3	42.9	50.6	59.0	72.8	74.0	75.7	66.9	59.4	39.4	37.2	52.5
